에너지원,구분,발전소명,용량(MW),준공년도,비 고
풍 력,자체,한경풍력 1단계(1~4호기),6,2004,FIT
풍 력,자체,한경풍력 2단계(5~9호기),15,2007,FIT
풍 력,자체,성산풍력 1단계(1~6호기),12,2009,FIT
풍 력,자체,성산풍력 2단계(7~10호기),8,2010,RPS
풍 력,SPC,태백풍력(1~9호기),18,2012,RPS
풍 력,SPC,창죽풍력(1~8호기),16,2013,RPS
풍 력,SPC,평창풍력(1~15호기),30,2016,RPS
풍 력,SPC,정암풍력(1~14호기),32.2,2018,RPS
풍 력,SPC,한국해상풍력,60,2019,RPS
풍 력,SPC,귀네미풍력,19.8,2020,RPS
풍 력,SPC,금성산풍력,51.7,2023,RPS
풍 력,SPC,오미산풍력,60.2,2024,RPS
태양광,자체,하동화력태양광 #1,0.998,2008,FIT
태양광,자체,부산소내태양광#1,0.39,2008,FIT
태양광,자체,영월복합태양광,0.076,2009,RPA
태양광,자체,하동화력태양광 #2 (3개소),1.901,2010,RPA
태양광,자체,하동화력태양광 #3,0.601,2010,RPA
태양광,자체,행원소수력태양광,0.006,2010,RPA
태양광,자체,하동군보건소태양광,0.04,2011,RPA
태양광,자체,하동정수장태양광,0.093,2011,RPA
태양광,자체,하동하수처리장태양광,0.055,2011,RPA
태양광,자체,하동공설운동장태양광,0.37,2011,RPA
태양광,자체,하동변전소태양광,0.048,2011,RPA
태양광,자체,인천수산정수장태양광,0.998,2011,RPA
태양광,자체,부산신항태양광,0.115,2011,RPA
태양광,자체,남제주소내태양광,0.196,2012,RPS
태양광,자체,부산자재창고태양광,0.187,2012,RPS
태양광,자체,신인천소내태양광,0.2,2012,RPS
태양광,자체,삼척사택 태양광,0.241,2015,RPS
태양광,자체,하동화력태양광 #4,0.998,2017,RPS
태양광,자체,안동 소내태양광 #1,0.098,2017,RPS
태양광,자체,신인천 전망대 태양광,1.742,2017,RPS
태양광,자체,삼척 소내태양광 #1,0.999,2017,RPS
태양광,자체,부산 운동장부지 태양광,1.4,2017,RPS
태양광,자체,부산 수처리장 태양광,0.111,2017,RPS
태양광,자체,영월 철도부지 태양광,1.191,2018,RPS
태양광,자체,삼척 소내태양광 #2,0.99,2018,RPS
태양광,자체,하동화력 태양광 #5,0.998,2018,RPS
태양광,자체,삼척 소내태양광 #3,2.002,2018,RPS
태양광,자체,신인천해수취수로태양광,0.907,2018,RPS
태양광,자체,위미2리태양광,0.995,2018,RPS
태양광,자체,안동 소내태양광#2,0.285,2018,RPS
태양광,자체,부산소내태양광#2,0.502,2018,RPS
태양광,자체,삼척소내#4,2.599,2019,RPS
태양광,자체,송당리 태양광,0.997,2019,RPS
태양광,자체,신인천 주차장 태양광,0.603,2019,RPS
태양광,자체,부산역 선상 주차장,0.8344,2020,RPS
태양광,자체,제주 용수리 태양광,0.889,2020,RPS
태양광,자체,하동소내#6,0.998,2020,RPS
태양광,자체,"신인천 1,2단계 주차장 태양광",0.2961,2020,RPS
태양광,자체,신인천 북측부지 태양광,0.3654,2020,RPS
태양광,자체,감우리,0.554,2021,RPS
태양광,자체,화촌 솔라팜,0.999,2021,RPS
태양광,자체,신인천 소내주차장,0.2,2021,RPS
태양광,자체,백사면 A,1.834,2021,RPS
태양광,자체,백사면 B,0.999,2021,RPS
태양광,자체,신풍리,0.991,2021,RPS
태양광,자체,무릉리,0.809,2021,RPS
태양광,자체,세화리,0.999,2021,RPS
태양광,자체,와산리,0.816,2022,RPS
태양광,자체,토산리,0.995,2022,RPS
태양광,자체,성읍리,0.997,2023,RPS
태양광,자체,인천남동경기장태양광,0.499,2023,RPS
태양광,자체,익산다송리,0.892,2023,RPS
태양광,자체,가시리1,0.997,2024,RPS
태양광,자체,부산철도1호,2.894,2024,RPS
태양광,자체,부산철도2호,0.809,2024,RPS
태양광,자체,부산철도4호,0.095,2024,RPS
태양광,SPC,KnH솔라,8.6,2012,RPS
태양광,SPC,솔라시도,98,2020,RPS
태양광,SPC,희망빛발전(밀양),2.498,2019,RPS
태양광,SPC,켑코솔라(햇빛새싹발전)(~'21년),79.48,2021,RPS
태양광,SPC,켑코솔라(햇빛새싹발전)(~'22년),14.86,2022,RPS
ESS,자체,성산풍력 #2 ESS,2,2015,
ESS,자체,신인천 전망대 법사면 태양광ESS,1.5,2020,
ESS,SPC,솔라시도ESS,78,2020,
연료전지,자체,신인천 연료전지 #1,20,2018,RPS
연료전지,자체,신인천 연료전지 #2,18.48,2019,RPS
연료전지,자체,신인천 연료전지 #3,20.24,2019,RPS
연료전지,자체,신인천 연료전지 #4,20.24,2021,RPS
연료전지,자체,신인천 연료전지 #5,18.48,2024,RPS
연료전지,자체,영월#1 연료전지,15,2021,RPS
연료전지,자체,영월#2 연료전지,15,2023,RPS
소수력,자체,남제주 소수력,0.09,2011,자가용
소수력,자체,행원 소수력,0.06,2010,RPS
소수력,자체,삼척 소수력,3.332,2017,RPS
바이오,자체,하동혼소#1~4(3%),60,2012,RPS
바이오,자체,남제주바이오중유 #1(전소),100,2014,RPS
바이오,자체,"하동혼소#5,6(5%)",50,2014,RPS
바이오,자체,"삼척혼소#1,2",102.2,2018,RPS
바이오,자체,남제주바이오중유#2(전소),100,2019,RPS
바이오,자체,"하동혼소#7,8(5%)",50,2023,RPS
